Lattice Direction Pseudo, Atom Type, Atom Number, KE, Final Energy, Delta Energy
4L, n, 35, 35, -1823.366509, 0.001296
4L, n, 35, 36, -1817.456309, 5.911496
50S, ga, 34, 25, -1823.366824, 0.000981
50S, ga, 34, 33, -1823.366831, 0.000974
50S, ga, 34, 41, -1823.367598, 0.000207
50S, ga, 34, 49, -1816.501694, 6.866111
50S, ga, 34, 45, -1809.085372, 14.282433
50S, ga, 34, 43, -1823.366976, 0.000829
50S, ga, 34, 44, -1823.366657, 0.001148
50S, n, 35, 25, -1815.807938, 7.559867
50S, n, 35, 17, -1823.365547, 0.002258
50S, n, 35, 21, -1815.802659, 7.565146
50S, n, 35, 19, -1815.789847, 7.577958
50S, n, 35, 18, -1823.365668, 0.002137
51S, ga, 34, 25, -1823.366712, 0.001093
51S, ga, 34, 33, -1823.366278, 0.001527
51S, ga, 34, 41, -1823.366348, 0.001457
51S, ga, 34, 49, -1815.372905, 7.994900
51S, ga, 34, 45, -1823.366033, 0.001772
51S, n, 35, 25, -1815.808046, 7.559759
51S, n, 35, 17, -1815.810391, 7.557414
51S, n, 35, 9, -1823.364462, 0.003343
51S, n, 35, 13, -1823.366046, 0.001759
51S, n, 35, 15, -1823.365961, 0.001844
51S, n, 35, 16, -1815.793812, 7.573993
52S, ga, 34, 25, -1823.366929, 0.000876
52S, ga, 34, 33, -1823.365072, 0.002733
52S, ga, 34, 41, -1815.373740, 7.994065
52S, ga, 34, 37, -1815.373056, 7.994749
52S, ga, 34, 35, -1823.365467, 0.002338
52S, ga, 34, 36, -1815.374047, 7.993758
52S, n, 35, 25, -1815.770612, 7.597193
52S, n, 35, 17, -1815.649218, 7.718587
52S, n, 35, 9, -1823.364648, 0.003157
52S, n, 35, 13, -1823.365387, 0.002418
52S, n, 35, 15, -1823.364725, 0.003080
52S, n, 35, 16, -1815.794243, 7.573562
53S, ga, 34, 25, -1823.366690, 0.001115
53S, ga, 34, 33, -1823.366229, 0.001576
53S, ga, 34, 41, -1823.366355, 0.001450
53S, ga, 34, 49, -1815.373128, 7.994677
53S, ga, 34, 45, -1823.365965, 0.001840
53S, n, 35, 25, -1815.746373, 7.621432
53S, n, 35, 17, -1815.808270, 7.559535
53S, n, 35, 9, -1823.364695, 0.003110
53S, n, 35, 13, -1823.366005, 0.001800
53S, n, 35, 15, -1823.365727, 0.002078
53S, n, 35, 16, -1815.794484, 7.573321
54S, ga, 34, 25, -1823.366831, 0.000974
54S, ga, 34, 33, -1823.366879, 0.000926
54S, ga, 34, 41, -1823.367344, 0.000461
54S, ga, 34, 49, -1816.501189, 6.866616
54S, ga, 34, 45, -1809.091469, 14.276336
